ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-2,244665.680572,52304.262691,243785.507677,52304.262691,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,118064.805358,92885.026566,117300.169619,92885.026566,315,0,HVAC-S-AHU-B1-14-1-S-KNL,downbranch,non-critical
ZON-2,257775.0,52407.5,257775.0,51280.262606,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,119458.818088,87112.629277,120512.166074,87112.629277,80,0,HVAC-R-AHU-B1-14-1-R-KNL,downbranch,non-critical
ZON-2,251631.650412,53915.400716,251631.650412,51770.262606,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,119111.166659,94603.732334,118095.315178,94603.732334,315,0,HVAC-R-AHU-B1-14-1-R-KNL,downbranch,non-critical
ZON-2,253980.226777,52120.000003,253980.226775,48675.0,250,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,122267.142774,100513.134756,122267.142774,109798.043948,250,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,252832.5,49398.215791,252282.805778,49398.215791,200,200,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,124859.1687,105130.168434,124492.459127,105130.168434,125,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,240133.450905,49298.215791,240133.450905,49498.215791,300,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,124369.959127,105252.668434,124369.959127,106906.971574,125,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,251981.650412,51120.262606,257615.0,51120.262606,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,124859.003805,107310.174633,124700.418542,107310.174633,125,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,251706.650412,51320.262606,251706.650412,50411.534199,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,124859.358159,109344.535307,124712.918542,109344.535307,125,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,248421.775009,54330.880026,248271.775009,54330.880026,300,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,124369.959127,107131.971574,124369.959127,109213.541151,200,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,248171.775009,54553.679364,248880.683298,54553.679364,200,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,124369.959127,109288.541151,124369.959127,110220.543948,225,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,249040.683298,54393.679364,249040.683298,52769.186479,200,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,120321.81687,110398.043948,124192.459127,110398.043948,225,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,249040.683298,48800.0,249040.683298,52071.740622,200,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,109625.074541,85359.684495,109623.497013,84187.241578,800,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,253780.226775,48475.0,252772.805778,48475.0,250,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,109537.884434,83868.653014,109044.801706,83024.683238,800,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,252322.805778,48550.0,249390.683298,48550.0,400,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,103311.887556,86977.498355,102939.685801,86977.498355,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,252122.805778,48700.0,252122.805778,49238.215791,200,200,HVAC-S-AHU-B1-01-S-KNL,downbranch,non-critical
ZON-4,103311.887556,85577.498355,102939.685801,85577.498355,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,251431.650412,50136.534199,234914.225407,50136.534199,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,103311.887556,84177.142955,102939.685801,84177.142955,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,249240.683298,48550.0,240352.342389,48550.0,400,250,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,98694.407805,86708.57555,98694.407805,86313.21429,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,249315.683298,48750.0,249315.683298,48350.0,150,150,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,98694.407805,85170.480892,98694.407805,85532.797984,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,240202.342389,48575.0,236889.841491,48575.0,450,250,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,101684.00137,79235.107625,101436.354353,79235.107625,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,239874.401811,48750.0,239874.401811,49238.215791,200,200,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,100360.692962,79235.107625,100605.938047,79235.107625,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,236520.189934,52391.240779,236520.189934,54192.632478,200,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,101021.146203,79361.20951,101021.146103,75049.081484,250,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,236520.189934,52189.747914,236520.189934,48850.0,200,200,HVAC-S-AHU-B1-01-S-KNL,downbranch,non-critical
ZON-4,101684.00137,68910.782207,101436.354353,68910.782207,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,236739.841491,48575.0,235662.27953,48575.0,450,300,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,100360.692962,68910.782207,100605.938047,68910.782207,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,236814.841491,48800.0,236814.841491,48350.0,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,101021.146203,68784.680323,101021.146098,73811.385948,250,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,235049.77953,48475.0,231875.0,48475.0,250,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
